provider,model,opponent_type,seed,swap,hands,llm_chips_per_100,opponent_chips_per_100,decision_count,reflection_count,fallback_count,provider_failures,invalid_actions,mean_decision_latency_ms,total_tokens,elapsed_seconds,showdown_rate
codex,current,tag,8100,0,1,-100.0,100.0,1,1,0,0,0,22230.771041009575,39893,38.33370629203273,0.0
codex,current,tag,8100,1,1,100.0,-100.0,1,1,0,0,0,11673.406707996037,39577,28.57136649999302,0.0
